api,status,primary_category,runner_category,checkpoint_attempts,provider_error_attempts,provider_internal_retries,doc_rounds_used,repair_status,source,error,category_reason
OutputStreamImageSink,pass,pass,,1,0,,,,source/src/main/java/net/coobird/thumbnailator/tasks/io/OutputStreamImageSink.java:66,,
Pipeline,fail,unknown,compile,1,0,,,,source/src/main/java/net/coobird/thumbnailator/filters/Pipeline.java:73,/Users/clockorangezoe/Documents/phd_projects/code/geoAI/GRAIL_thumbnailator_A2/experiments/external/thumbnailator/.aideal_exec/A2/run_Pipeline/ApiTest.java:54: error: constructor Rotation in class Rotation cannot be applied to given types;,"Observed compile; doc attribution requires source, document, and snippet review."
ProgressiveBilinearResizer,pass,pass,,1,0,,,,source/src/main/java/net/coobird/thumbnailator/resizers/ProgressiveBilinearResizer.java:70,,
Region,pass,pass,,1,0,,,,source/src/main/java/net/coobird/thumbnailator/geometry/Region.java:59,,
RelativeSize,pass,pass,,1,0,,,,source/src/main/java/net/coobird/thumbnailator/geometry/RelativeSize.java:52,,
ScaledThumbnailMaker,pending,pending,,0,0,,,,,,Not yet observed.
SourceSinkThumbnailTask,pending,pending,,0,0,,,,,,Not yet observed.
StreamThumbnailTask,pending,pending,,0,0,,,,,,Not yet observed.
ThumbnailMaker,pending,pending,,0,0,,,,,,Not yet observed.
ThumbnailParameter,pending,pending,,0,0,,,,,,Not yet observed.
ThumbnailParameterBuilder,pending,pending,,0,0,,,,,,Not yet observed.
Transparency,pending,pending,,0,0,,,,,,Not yet observed.
URLImageSource,pending,pending,,0,0,,,,,,Not yet observed.
UnsupportedFormatException,pending,pending,,0,0,,,,,,Not yet observed.
Watermark,pending,pending,,0,0,,,,,,Not yet observed.
add,pending,pending,,0,0,,,,,,Not yet observed.
addAll,pending,pending,,0,0,,,,,,Not yet observed.
addFilter,pending,pending,,0,0,,,,,,Not yet observed.
addFilters,pending,pending,,0,0,,,,,,Not yet observed.
addFirst,pending,pending,,0,0,,,,,,Not yet observed.
allowOverwrite,pending,pending,,0,0,,,,,,Not yet observed.
alphaInterpolation,pending,pending,,0,0,,,,,,Not yet observed.
antialiasing,pending,pending,,0,0,,,,,,Not yet observed.
apply,pending,pending,,0,0,,,,,,Not yet observed.
asBufferedImage,pending,pending,,0,0,,,,,,Not yet observed.
asBufferedImages,pending,pending,,0,0,,,,,,Not yet observed.
asFiles,pending,pending,,0,0,,,,,,Not yet observed.
build,pending,pending,,0,0,,,,,,Not yet observed.
calculate,pending,pending,,0,0,,,,,,Not yet observed.
clear,pending,pending,,0,0,,,,,,Not yet observed.
copy,pending,pending,,0,0,,,,,,Not yet observed.
createOutputStream,pending,pending,,0,0,,,,,,Not yet observed.
createThumbnail,pending,pending,,0,0,,,,,,Not yet observed.
createThumbnails,pending,pending,,0,0,,,,,,Not yet observed.
createThumbnailsAsCollection,pending,pending,,0,0,,,,,,Not yet observed.
crop,pending,pending,,0,0,,,,,,Not yet observed.
defaultImageType,pending,pending,,0,0,,,,,,Not yet observed.
defaultResizer,pending,pending,,0,0,,,,,,Not yet observed.
defaultResizerFactory,pending,pending,,0,0,,,,,,Not yet observed.
determineOutputFormat,pending,pending,,0,0,,,,,,Not yet observed.
dithering,pending,pending,,0,0,,,,,,Not yet observed.
filters,pending,pending,,0,0,,,,,,Not yet observed.
fitWithinDimenions,pending,pending,,0,0,,,,,,Not yet observed.
fitWithinDimensions,pending,pending,,0,0,,,,,,Not yet observed.
forceSize,pending,pending,,0,0,,,,,,Not yet observed.
format,pending,pending,,0,0,,,,,,Not yet observed.
formatType,pending,pending,,0,0,,,,,,Not yet observed.
fromFilenames,pending,pending,,0,0,,,,,,Not yet observed.
fromFiles,pending,pending,,0,0,,,,,,Not yet observed.
fromImages,pending,pending,,0,0,,,,,,Not yet observed.
fromInputStreams,pending,pending,,0,0,,,,,,Not yet observed.
fromURLs,pending,pending,,0,0,,,,,,Not yet observed.
getAlpha,pending,pending,,0,0,,,,,,Not yet observed.
getBoolean,pending,pending,,0,0,,,,,,Not yet observed.
getCount,pending,pending,,0,0,,,,,,Not yet observed.
getDestination,pending,pending,,0,0,,,,,,Not yet observed.
getExifOrientation,pending,pending,,0,0,,,,,,Not yet observed.
getFilterForOrientation,pending,pending,,0,0,,,,,,Not yet observed.
getFilters,pending,pending,,0,0,,,,,,Not yet observed.
getFormatName,pending,pending,,0,0,,,,,,Not yet observed.
getHeightScalingFactor,pending,pending,,0,0,,,,,,Not yet observed.
getImageFilters,pending,pending,,0,0,,,,,,Not yet observed.
getInputFormatName,pending,pending,,0,0,,,,,,Not yet observed.
getInstance,pending,pending,,0,0,,,,,,Not yet observed.
getKey,pending,pending,,0,0,,,,,,Not yet observed.
getOffsetValue,pending,pending,,0,0,,,,,,Not yet observed.
getOrientationFromExif,pending,pending,,0,0,,,,,,Not yet observed.
getOutputFormat,pending,pending,,0,0,,,,,,Not yet observed.
getOutputFormatType,pending,pending,,0,0,,,,,,Not yet observed.
getOutputQuality,pending,pending,,0,0,,,,,,Not yet observed.
getParam,pending,pending,,0,0,,,,,,Not yet observed.
getPosition,pending,pending,,0,0,,,,,,Not yet observed.
getProxy,pending,pending,,0,0,,,,,,Not yet observed.
getRenderingHints,pending,pending,,0,0,,,,,,Not yet observed.
getResizer,pending,pending,,0,0,,,,,,Not yet observed.
getResizerFactory,pending,pending,,0,0,,,,,,Not yet observed.
getSink,pending,pending,,0,0,,,,,,Not yet observed.
getSize,pending,pending,,0,0,,,,,,Not yet observed.
getSource,pending,pending,,0,0,,,,,,Not yet observed.
getSourceRegion,pending,pending,,0,0,,,,,,Not yet observed.
getSupportedOutputFormatTypes,pending,pending,,0,0,,,,,,Not yet observed.
getSupportedOutputFormats,pending,pending,,0,0,,,,,,Not yet observed.
getTag,pending,pending,,0,0,,,,,,Not yet observed.
getType,pending,pending,,0,0,,,,,,Not yet observed.
getValue,pending,pending,,0,0,,,,,,Not yet observed.
getWidthScalingFactor,pending,pending,,0,0,,,,,,Not yet observed.
height,pending,pending,,0,0,,,,,,Not yet observed.
if,pending,pending,,0,0,,,,,,Not yet observed.
imageType,pending,pending,,0,0,,,,,,Not yet observed.
init,pending,pending,,0,0,,,,,,Not yet observed.
isKeepAspectRatio,pending,pending,,0,0,,,,,,Not yet observed.
isOffset,pending,pending,,0,0,,,,,,Not yet observed.
isSupportedOutputFormat,pending,pending,,0,0,,,,,,Not yet observed.
isSupportedOutputFormatType,pending,pending,,0,0,,,,,,Not yet observed.
isValue,pending,pending,,0,0,,,,,,Not yet observed.
iterableBufferedImages,pending,pending,,0,0,,,,,,Not yet observed.
iterator,pending,pending,,0,0,,,,,,Not yet observed.
keepAspectRatio,pending,pending,,0,0,,,,,,Not yet observed.
make,pending,pending,,0,0,,,,,,Not yet observed.
newRotator,pending,pending,,0,0,,,,,,Not yet observed.
of,pending,pending,,0,0,,,,,,Not yet observed.
outputFormat,pending,pending,,0,0,,,,,,Not yet observed.
outputFormatType,pending,pending,,0,0,,,,,,Not yet observed.
outputQuality,pending,pending,,0,0,,,,,,Not yet observed.
preferredOutputFormatName,pending,pending,,0,0,,,,,,Not yet observed.
quality,pending,pending,,0,0,,,,,,Not yet observed.
read,pending,pending,,0,0,,,,,,Not yet observed.
region,pending,pending,,0,0,,,,,,Not yet observed.
rendering,pending,pending,,0,0,,,,,,Not yet observed.
resize,pending,pending,,0,0,,,,,,Not yet observed.
resizer,pending,pending,,0,0,,,,,,Not yet observed.
resizerFactory,pending,pending,,0,0,,,,,,Not yet observed.
rotate,pending,pending,,0,0,,,,,,Not yet observed.
scale,pending,pending,,0,0,,,,,,Not yet observed.
scalingMode,pending,pending,,0,0,,,,,,Not yet observed.
setOutputFormatName,pending,pending,,0,0,,,,,,Not yet observed.
setThumbnailParameter,pending,pending,,0,0,,,,,,Not yet observed.
size,pending,pending,,0,0,,,,,,Not yet observed.
sourceRegion,pending,pending,,0,0,,,,,,Not yet observed.
toFile,pending,pending,,0,0,,,,,,Not yet observed.
toFiles,pending,pending,,0,0,,,,,,Not yet observed.
toOutputStream,pending,pending,,0,0,,,,,,Not yet observed.
toOutputStreams,pending,pending,,0,0,,,,,,Not yet observed.
typeOf,pending,pending,,0,0,,,,,,Not yet observed.
useExifOrientation,pending,pending,,0,0,,,,,,Not yet observed.
useOriginalFormat,pending,pending,,0,0,,,,,,Not yet observed.
useOriginalImageType,pending,pending,,0,0,,,,,,Not yet observed.
value,pending,pending,,0,0,,,,,,Not yet observed.
watermark,pending,pending,,0,0,,,,,,Not yet observed.
width,pending,pending,,0,0,,,,,,Not yet observed.
write,pending,pending,,0,0,,,,,,Not yet observed.
